,Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
110,2013.0,Angels,2311.0,6260.0,164.0,733.0,696.0,82.0,0.084,0.195,0.15,0.307,0.264,0.329,0.414,0.325,109.0,-9.7,54.8,-51.1,22.2
111,2016.0,Nationals,2097.0,6202.0,203.0,763.0,735.0,121.0,0.086,0.20199999999999999,0.17,0.293,0.256,0.325,0.426,0.322,96.0,16.0,-16.7,35.3,22.1
112,2015.0,Rangers,2358.0,6187.0,172.0,751.0,707.0,101.0,0.081,0.19899999999999998,0.156,0.3,0.257,0.325,0.413,0.321,98.0,21.6,4.8,2.1,22.0
113,2010.0,Blue Jays,2206.0,6072.0,257.0,755.0,732.0,58.0,0.078,0.192,0.206,0.269,0.248,0.312,0.454,0.334,105.0,-12.3,25.1,-20.8,21.9
114,2013.0,Pirates,2369.0,6135.0,161.0,634.0,603.0,94.0,0.076,0.217,0.151,0.294,0.245,0.313,0.396,0.312,99.0,1.8,-3.4,21.5,21.9
115,2016.0,Tigers,1837.0,6127.0,211.0,750.0,719.0,58.0,0.08,0.213,0.171,0.312,0.267,0.331,0.438,0.33,106.0,-16.9,27.0,-19.3,21.9
116,2016.0,Mets,2104.0,6115.0,218.0,671.0,649.0,42.0,0.085,0.213,0.171,0.282,0.246,0.316,0.417,0.315,99.0,-8.6,-17.7,36.4,21.9
117,2012.0,Phillies,2294.0,6172.0,158.0,684.0,659.0,116.0,0.07400000000000001,0.177,0.144,0.29,0.255,0.317,0.4,0.311,93.0,10.7,-40.8,57.5,21.8
118,2012.0,Padres,2384.0,6112.0,121.0,651.0,610.0,155.0,0.08800000000000001,0.203,0.133,0.297,0.247,0.319,0.38,0.307,97.0,13.8,-8.4,26.9,21.8
119,2016.0,Cardinals,2208.0,6223.0,225.0,779.0,745.0,35.0,0.085,0.212,0.187,0.294,0.255,0.325,0.443,0.329,105.0,-17.1,18.9,-5.2,21.7
120,2010.0,Rangers,2312.0,6302.0,162.0,787.0,740.0,123.0,0.081,0.156,0.143,0.307,0.276,0.338,0.419,0.333,98.0,4.5,-7.1,0.9,21.7
121,2011.0,Dodgers,2304.0,6094.0,117.0,644.0,613.0,126.0,0.08199999999999999,0.17800000000000002,0.118,0.299,0.257,0.322,0.375,0.307,95.0,10.2,-24.6,39.6,21.6
122,2010.0,Diamondbacks,2271.0,6183.0,180.0,713.0,691.0,86.0,0.095,0.247,0.166,0.312,0.25,0.325,0.416,0.325,93.0,-8.3,-62.8,78.0,21.5
123,2010.0,Braves,2376.0,6252.0,139.0,738.0,699.0,63.0,0.10099999999999999,0.182,0.143,0.301,0.258,0.339,0.401,0.327,100.0,-2.1,-2.9,15.7,21.5
124,2015.0,Pirates,2431.0,6285.0,140.0,697.0,661.0,98.0,0.073,0.21,0.136,0.314,0.26,0.323,0.396,0.313,97.0,3.5,-17.4,22.7,21.3
125,2017.0,Reds,2321.0,6213.0,219.0,753.0,715.0,120.0,0.091,0.214,0.179,0.294,0.253,0.329,0.433,0.325,95.0,-5.3,-43.5,55.9,21.3
126,2016.0,Astros,1816.0,6204.0,198.0,724.0,689.0,102.0,0.08900000000000001,0.23399999999999999,0.17,0.298,0.247,0.319,0.417,0.317,101.0,-5.4,2.8,-3.8,21.3
127,2017.0,Rays,2345.0,6147.0,228.0,694.0,671.0,88.0,0.08900000000000001,0.25,0.178,0.296,0.245,0.317,0.422,0.316,98.0,11.2,-5.2,6.1,21.2
128,2008.0,Braves,2407.0,6368.0,130.0,753.0,721.0,58.0,0.09699999999999999,0.161,0.138,0.309,0.27,0.345,0.408,0.332,99.0,-5.8,-12.5,18.2,21.1
129,2009.0,Twins,2315.0,6346.0,172.0,817.0,770.0,85.0,0.092,0.161,0.155,0.306,0.274,0.345,0.429,0.338,104.0,15.3,42.9,-49.1,21.1
130,2012.0,Diamondbacks,2213.0,6150.0,165.0,734.0,710.0,93.0,0.08800000000000001,0.20600000000000002,0.159,0.307,0.259,0.328,0.418,0.323,97.0,-5.6,-30.7,41.0,21.1
131,2008.0,Marlins,2361.0,6206.0,208.0,770.0,741.0,76.0,0.087,0.221,0.179,0.3,0.254,0.326,0.433,0.33,96.0,5.7,-27.5,33.5,20.6
132,2012.0,Tigers,2248.0,6119.0,163.0,726.0,698.0,59.0,0.084,0.18,0.154,0.307,0.268,0.335,0.422,0.328,105.0,-17.8,15.4,-20.4,20.6
133,2013.0,Rangers,2321.0,6196.0,176.0,730.0,691.0,149.0,0.075,0.172,0.15,0.294,0.262,0.323,0.412,0.323,97.0,2.0,-22.5,13.8,20.6
134,2011.0,Phillies,2203.0,6279.0,153.0,713.0,693.0,96.0,0.086,0.163,0.142,0.283,0.253,0.323,0.395,0.315,96.0,3.5,-29.5,28.9,20.6
135,2016.0,Orioles,1914.0,6089.0,253.0,744.0,710.0,19.0,0.077,0.217,0.188,0.291,0.256,0.317,0.443,0.326,103.0,2.5,22.6,-26.4,20.6
136,2015.0,Yankees,2401.0,6268.0,212.0,764.0,737.0,63.0,0.08800000000000001,0.196,0.17,0.283,0.251,0.323,0.421,0.323,103.0,3.0,25.3,-34.9,20.6
137,2011.0,Royals,2134.0,6267.0,129.0,730.0,705.0,153.0,0.071,0.161,0.14,0.311,0.275,0.329,0.415,0.325,101.0,0.7,4.5,-13.7,20.4
138,2010.0,Athletics,2255.0,6117.0,109.0,663.0,619.0,156.0,0.086,0.17300000000000001,0.122,0.297,0.256,0.324,0.378,0.313,95.0,17.8,-20.6,6.9,20.2
139,2013.0,Royals,2236.0,6093.0,112.0,648.0,620.0,153.0,0.069,0.172,0.119,0.3,0.26,0.315,0.379,0.305,89.0,18.2,-57.4,48.7,20.2
140,2014.0,Royals,2273.0,6058.0,95.0,651.0,604.0,153.0,0.063,0.163,0.113,0.302,0.263,0.314,0.376,0.306,92.0,4.8,-47.8,41.3,20.2
141,2012.0,Rays,2406.0,6105.0,175.0,697.0,665.0,134.0,0.094,0.217,0.155,0.284,0.24,0.317,0.394,0.311,100.0,-0.7,-1.0,-7.5,20.2
142,2012.0,Athletics,2247.0,6183.0,195.0,713.0,676.0,122.0,0.08900000000000001,0.22399999999999998,0.166,0.281,0.238,0.31,0.404,0.311,97.0,19.4,0.3,-12.4,20.1
143,2009.0,Marlins,2394.0,6312.0,159.0,772.0,727.0,75.0,0.09,0.19399999999999998,0.148,0.316,0.268,0.34,0.416,0.332,97.0,4.5,-16.7,14.4,20.0
144,2014.0,Marlins,2311.0,6185.0,122.0,645.0,614.0,58.0,0.081,0.22899999999999998,0.125,0.316,0.253,0.317,0.378,0.307,95.0,-5.6,-42.3,38.2,20.0
145,2012.0,White Sox,2277.0,6111.0,211.0,748.0,726.0,109.0,0.075,0.19699999999999998,0.167,0.289,0.255,0.318,0.422,0.322,98.0,-7.0,-18.2,5.2,19.7
146,2009.0,Mariners,2150.0,6113.0,160.0,640.0,613.0,89.0,0.069,0.179,0.144,0.293,0.258,0.314,0.402,0.313,89.0,-4.5,-87.0,75.2,19.7
147,2015.0,Tigers,2340.0,6159.0,151.0,689.0,660.0,83.0,0.07400000000000001,0.204,0.15,0.322,0.27,0.328,0.42,0.324,103.0,-27.6,-8.6,-7.5,19.5
148,2016.0,Angels,1927.0,6041.0,156.0,717.0,686.0,73.0,0.078,0.16399999999999998,0.145,0.289,0.26,0.322,0.405,0.314,99.0,-16.8,-27.4,13.3,19.4
149,2018.0,Reds,2402.0,6240.0,172.0,696.0,665.0,77.0,0.09,0.221,0.148,0.307,0.254,0.328,0.401,0.317,95.0,-1.9,-40.2,30.3,19.3
150,2014.0,Twins,2292.0,6233.0,128.0,715.0,675.0,99.0,0.087,0.213,0.135,0.309,0.254,0.324,0.389,0.316,100.0,20.9,23.8,-44.5,19.3
151,2011.0,Mets,2383.0,6335.0,108.0,718.0,676.0,130.0,0.09,0.171,0.127,0.307,0.264,0.335,0.391,0.319,102.0,11.1,25.0,-39.9,19.3
152,2009.0,Rockies,2352.0,6241.0,190.0,804.0,760.0,106.0,0.106,0.205,0.18,0.305,0.261,0.343,0.441,0.341,96.0,5.3,-29.7,21.1,19.2
153,2018.0,Pirates,2293.0,6066.0,157.0,692.0,665.0,70.0,0.078,0.203,0.154,0.298,0.254,0.317,0.407,0.312,96.0,-13.3,-45.4,39.1,19.1
154,2017.0,Diamondbacks,2360.0,6224.0,220.0,812.0,776.0,103.0,0.09300000000000001,0.23399999999999999,0.19,0.306,0.254,0.329,0.445,0.329,95.0,12.4,-27.9,17.7,19.1
155,2015.0,Rays,2479.0,6071.0,167.0,644.0,612.0,87.0,0.07200000000000001,0.21600000000000003,0.154,0.3,0.252,0.314,0.406,0.313,100.0,-13.4,-16.2,-1.0,19.1
156,2009.0,Blue Jays,2202.0,6362.0,209.0,798.0,766.0,73.0,0.086,0.162,0.174,0.29,0.266,0.333,0.44,0.337,101.0,12.2,21.5,-48.3,19.1
157,2013.0,Padres,2359.0,6122.0,146.0,618.0,578.0,118.0,0.076,0.214,0.133,0.294,0.245,0.308,0.378,0.302,94.0,8.8,-35.4,27.4,19.1
158,2015.0,Indians,2285.0,6109.0,141.0,669.0,640.0,86.0,0.087,0.18899999999999997,0.144,0.299,0.256,0.325,0.401,0.315,97.0,8.1,-15.6,-4.6,18.9
159,2012.0,Red Sox,2317.0,6166.0,165.0,734.0,695.0,97.0,0.069,0.19399999999999998,0.155,0.301,0.26,0.315,0.415,0.316,95.0,2.6,-37.1,13.9,18.9
160,2009.0,Braves,2335.0,6335.0,149.0,735.0,700.0,58.0,0.095,0.168,0.142,0.3,0.263,0.339,0.405,0.327,97.0,-20.2,-44.2,29.4,18.9
161,2016.0,Rockies,2005.0,6236.0,204.0,845.0,805.0,66.0,0.079,0.213,0.182,0.326,0.275,0.336,0.457,0.339,94.0,1.1,-45.0,29.4,18.8
162,2015.0,Red Sox,2268.0,6237.0,161.0,748.0,706.0,71.0,0.077,0.184,0.149,0.305,0.265,0.325,0.415,0.321,99.0,1.4,-5.9,-20.9,18.6
163,2013.0,Diamondbacks,2349.0,6334.0,130.0,685.0,647.0,62.0,0.08199999999999999,0.18,0.133,0.301,0.259,0.323,0.391,0.314,93.0,-18.5,-69.4,50.7,18.6
164,2008.0,Twins,2287.0,6331.0,111.0,829.0,791.0,102.0,0.084,0.155,0.129,0.316,0.279,0.34,0.408,0.328,99.0,12.3,4.7,-35.2,18.6
165,2014.0,Rockies,2387.0,6164.0,186.0,755.0,721.0,85.0,0.064,0.20800000000000002,0.169,0.326,0.276,0.327,0.445,0.337,97.0,-12.3,-33.1,16.4,18.6
166,2015.0,Nationals,2245.0,6117.0,177.0,703.0,665.0,57.0,0.08800000000000001,0.22,0.151,0.3,0.251,0.321,0.403,0.315,96.0,-2.3,-29.7,13.9,18.5
167,2014.0,Cardinals,2324.0,6086.0,105.0,619.0,585.0,57.0,0.077,0.18600000000000003,0.116,0.3,0.253,0.32,0.369,0.308,95.0,-15.5,-49.0,33.9,18.5
168,2016.0,Pirates,2269.0,6261.0,153.0,729.0,696.0,110.0,0.09,0.213,0.144,0.311,0.257,0.332,0.402,0.318,97.0,-6.7,-26.5,7.1,18.4
169,2008.0,Orioles,2340.0,6211.0,172.0,782.0,750.0,81.0,0.086,0.159,0.162,0.296,0.267,0.333,0.429,0.333,99.0,-5.1,-17.0,-11.0,18.4
170,2013.0,Mets,2378.0,6207.0,130.0,619.0,593.0,114.0,0.08199999999999999,0.223,0.129,0.291,0.237,0.306,0.366,0.297,90.0,23.0,-49.2,32.4,18.4
171,2018.0,Mariners,2373.0,6087.0,176.0,677.0,644.0,79.0,0.071,0.201,0.154,0.295,0.254,0.314,0.408,0.313,101.0,-7.0,0.6,-24.3,18.2
172,2008.0,Yankees,2330.0,6257.0,180.0,789.0,758.0,118.0,0.086,0.162,0.156,0.302,0.271,0.342,0.427,0.338,104.0,-6.7,24.3,-56.3,18.2
173,2014.0,Brewers,2327.0,6065.0,150.0,650.0,617.0,102.0,0.07,0.19699999999999998,0.147,0.293,0.25,0.311,0.397,0.313,94.0,-12.1,-56.2,37.7,18.0
174,2013.0,Brewers,2335.0,6064.0,157.0,640.0,610.0,142.0,0.067,0.195,0.145,0.294,0.252,0.311,0.398,0.311,91.0,-6.9,-66.0,50.0,18.0
175,2008.0,Tigers,2267.0,6331.0,200.0,821.0,780.0,63.0,0.09,0.17,0.173,0.301,0.271,0.34,0.444,0.343,106.0,-6.7,42.3,-78.7,18.0
176,2010.0,Marlins,2300.0,6194.0,152.0,719.0,686.0,92.0,0.083,0.222,0.149,0.309,0.254,0.321,0.403,0.318,92.0,22.5,-36.2,16.8,18.0
177,2009.0,Tigers,2350.0,6234.0,183.0,743.0,718.0,72.0,0.087,0.179,0.156,0.294,0.26,0.331,0.416,0.328,94.0,0.4,-48.5,13.9,17.9
178,2013.0,Nationals,2241.0,6047.0,161.0,656.0,621.0,88.0,0.077,0.19699999999999998,0.146,0.292,0.251,0.313,0.398,0.311,94.0,3.1,-34.7,17.8,17.9
179,2014.0,Cubs,2358.0,6102.0,157.0,614.0,590.0,65.0,0.07200000000000001,0.242,0.146,0.296,0.239,0.3,0.385,0.303,91.0,4.0,-59.5,37.6,17.8
180,2015.0,Orioles,2249.0,6007.0,217.0,713.0,686.0,44.0,0.07,0.222,0.171,0.291,0.25,0.307,0.421,0.315,97.0,-4.9,-23.9,-3.5,17.8
181,2014.0,Rays,2352.0,6205.0,117.0,612.0,586.0,63.0,0.085,0.18100000000000002,0.12,0.287,0.247,0.317,0.367,0.305,97.0,1.0,-19.9,-14.7,17.6
182,2014.0,Mets,2294.0,6145.0,125.0,629.0,602.0,101.0,0.084,0.20600000000000002,0.126,0.286,0.239,0.308,0.364,0.299,92.0,-0.4,-56.0,30.9,17.6
183,2009.0,Rangers,2158.0,6127.0,224.0,784.0,748.0,149.0,0.077,0.205,0.185,0.296,0.26,0.32,0.445,0.331,92.0,9.1,-49.8,15.7,17.5
184,2016.0,Rays,1800.0,6046.0,216.0,672.0,647.0,60.0,0.07400000000000001,0.245,0.182,0.293,0.243,0.307,0.426,0.315,98.0,-0.4,-13.0,-19.6,17.5
185,2009.0,Reds,2314.0,6187.0,158.0,673.0,637.0,96.0,0.086,0.182,0.147,0.282,0.247,0.318,0.394,0.313,84.0,5.2,-118.5,94.3,17.4
186,2016.0,Diamondbacks,1999.0,6260.0,190.0,752.0,709.0,137.0,0.07400000000000001,0.228,0.171,0.315,0.261,0.32,0.432,0.321,93.0,17.7,-39.9,9.8,17.3
187,2015.0,Marlins,2297.0,5988.0,120.0,613.0,575.0,112.0,0.063,0.192,0.124,0.307,0.26,0.31,0.384,0.302,91.0,-1.2,-67.2,44.1,17.3
188,2015.0,Reds,2337.0,6196.0,167.0,640.0,613.0,134.0,0.08,0.203,0.146,0.29,0.248,0.312,0.394,0.307,91.0,10.9,-52.1,21.9,17.3
189,2017.0,Brewers,2423.0,6135.0,224.0,732.0,695.0,128.0,0.08900000000000001,0.256,0.18,0.308,0.249,0.322,0.429,0.321,93.0,2.4,-50.6,24.2,17.2
190,2017.0,Angels,2392.0,6073.0,186.0,710.0,678.0,136.0,0.086,0.19699999999999998,0.155,0.277,0.243,0.315,0.397,0.307,93.0,1.4,-54.6,17.9,17.2
191,2008.0,Angels,2229.0,6155.0,159.0,765.0,721.0,129.0,0.078,0.16,0.145,0.299,0.268,0.33,0.413,0.324,96.0,-1.0,-30.9,-7.9,17.1
192,2011.0,Padres,2355.0,6074.0,91.0,593.0,563.0,170.0,0.08199999999999999,0.217,0.112,0.294,0.237,0.305,0.349,0.29,86.0,18.2,-77.3,50.0,17.1
193,2017.0,Red Sox,2334.0,6338.0,168.0,785.0,735.0,106.0,0.09,0.193,0.149,0.3,0.258,0.329,0.407,0.316,91.0,4.9,-65.3,17.9,17.0
194,2010.0,Mets,2348.0,6144.0,128.0,656.0,625.0,130.0,0.08199999999999999,0.17800000000000002,0.134,0.287,0.249,0.314,0.383,0.307,89.0,10.6,-70.9,43.5,17.0
195,2017.0,Athletics,2350.0,6126.0,234.0,739.0,708.0,57.0,0.092,0.243,0.19,0.294,0.246,0.319,0.436,0.323,102.0,-5.5,12.0,-53.8,16.8
196,2016.0,Rangers,1861.0,6089.0,215.0,765.0,746.0,99.0,0.07200000000000001,0.2,0.172,0.298,0.262,0.322,0.433,0.324,95.0,2.0,-37.0,-3.3,16.8
197,2018.0,Diamondbacks,2409.0,6157.0,176.0,693.0,658.0,79.0,0.091,0.237,0.162,0.286,0.235,0.31,0.397,0.306,88.0,7.1,-84.3,51.6,16.7
198,2016.0,White Sox,1789.0,6131.0,168.0,686.0,656.0,77.0,0.07400000000000001,0.21,0.153,0.304,0.257,0.317,0.41,0.314,97.0,-2.5,-27.2,-16.7,16.6
199,2015.0,Angels,2459.0,5990.0,176.0,661.0,621.0,52.0,0.073,0.192,0.15,0.28,0.246,0.307,0.396,0.305,95.0,0.5,-37.0,-1.4,16.6
200,2013.0,Cubs,2294.0,6079.0,172.0,602.0,576.0,63.0,0.07200000000000001,0.20199999999999999,0.154,0.275,0.238,0.3,0.392,0.304,90.0,-11.9,-78.3,48.3,16.5
201,2009.0,Giants,2304.0,6057.0,122.0,657.0,612.0,78.0,0.065,0.191,0.132,0.302,0.257,0.309,0.389,0.305,83.0,10.0,-118.1,88.9,16.5
202,2013.0,Blue Jays,2314.0,6152.0,185.0,712.0,669.0,112.0,0.083,0.183,0.158,0.284,0.252,0.318,0.411,0.32,99.0,3.8,-2.8,-42.6,16.5
203,2018.0,Mets,2333.0,6177.0,170.0,676.0,649.0,71.0,0.092,0.22699999999999998,0.154,0.283,0.234,0.312,0.389,0.305,95.0,2.6,-37.3,0.9,16.4
204,2017.0,Tigers,2336.0,6150.0,187.0,735.0,699.0,65.0,0.08199999999999999,0.213,0.166,0.306,0.258,0.324,0.424,0.321,98.0,-19.8,-31.5,-16.4,16.3
205,2008.0,Blue Jays,2244.0,6191.0,126.0,714.0,681.0,80.0,0.084,0.152,0.135,0.295,0.264,0.331,0.399,0.322,94.0,-10.9,-60.7,10.3,16.1
206,2011.0,Marlins,2348.0,6232.0,149.0,625.0,596.0,95.0,0.087,0.2,0.142,0.291,0.247,0.318,0.388,0.311,92.0,2.1,-56.1,14.5,16.1
207,2009.0,Diamondbacks,2301.0,6269.0,173.0,720.0,686.0,102.0,0.091,0.207,0.165,0.299,0.253,0.324,0.418,0.324,89.0,13.1,-75.3,34.7,16.1
208,2009.0,Indians,2188.0,6320.0,161.0,773.0,730.0,84.0,0.092,0.192,0.153,0.308,0.264,0.339,0.417,0.333,100.0,-1.1,-0.7,-54.8,16.1
209,2009.0,Padres,2348.0,6179.0,141.0,638.0,605.0,82.0,0.095,0.191,0.138,0.284,0.242,0.321,0.381,0.309,93.0,-10.4,-67.1,27.5,15.9
210,2014.0,Yankees,2288.0,6082.0,147.0,633.0,591.0,112.0,0.07400000000000001,0.18600000000000003,0.135,0.282,0.245,0.307,0.38,0.305,94.0,3.2,-38.5,-8.3,15.9
211,2014.0,Red Sox,2283.0,6226.0,123.0,634.0,601.0,63.0,0.086,0.215,0.124,0.297,0.244,0.316,0.369,0.305,89.0,-8.1,-83.0,30.8,15.8
212,2015.0,Mariners,2407.0,6131.0,198.0,656.0,624.0,69.0,0.078,0.218,0.162,0.292,0.249,0.311,0.411,0.313,100.0,-23.1,-20.7,-30.1,15.7
213,2009.0,Nationals,2401.0,6273.0,156.0,710.0,685.0,73.0,0.098,0.193,0.148,0.302,0.258,0.337,0.406,0.327,96.0,-5.7,-37.9,-6.3,15.7
214,2009.0,Cubs,2343.0,6244.0,161.0,707.0,678.0,56.0,0.095,0.19,0.152,0.296,0.255,0.332,0.407,0.324,90.0,-13.2,-89.3,45.9,15.7
215,2011.0,Giants,2370.0,6091.0,121.0,570.0,534.0,85.0,0.07400000000000001,0.184,0.126,0.281,0.242,0.303,0.368,0.295,88.0,-6.5,-87.9,46.0,15.6
216,2008.0,White Sox,2298.0,6231.0,235.0,811.0,785.0,67.0,0.087,0.163,0.185,0.281,0.263,0.332,0.448,0.339,101.0,-27.4,-17.7,-39.4,15.6
217,2009.0,Athletics,2306.0,6247.0,135.0,759.0,723.0,133.0,0.084,0.16699999999999998,0.135,0.298,0.262,0.328,0.397,0.32,94.0,12.8,-38.0,-20.3,15.5
218,2011.0,Blue Jays,2265.0,6210.0,186.0,743.0,704.0,131.0,0.085,0.191,0.164,0.283,0.249,0.317,0.413,0.319,97.0,12.1,-11.6,-42.2,15.5
219,2010.0,Nationals,2410.0,6100.0,149.0,655.0,634.0,110.0,0.08199999999999999,0.2,0.14,0.294,0.25,0.318,0.39,0.313,90.0,-11.3,-84.4,44.1,15.5
